DeviceID,Challenge,Response
Device_01,11111010,1
Device_01,01101100,1
Device_01,11001111,1
Device_01,01100101,0
Device_01,11010100,0
Device_01,11001010,0
Device_01,11010011,1
Device_01,01010000,1
Device_01,11110010,0
Device_01,10101000,0
Device_01,10111010,0
Device_01,11010111,1
Device_01,11010001,1
Device_01,11010101,1
Device_01,01011101,0
Device_01,00010011,0
Device_01,11100101,1
Device_01,00111111,1
Device_01,01101011,1
Device_01,11011010,1
Device_01,01100100,1
Device_01,00001111,0
Device_01,00110110,0
Device_01,01100011,1
Device_01,01010010,0
Device_01,10101000,0
Device_01,00110000,0
Device_01,00011000,0
Device_01,10001001,1
Device_01,10111111,0
Device_01,01110111,0
Device_01,00010011,1
Device_01,10011010,0
Device_01,01001011,0
Device_01,00010010,0
Device_01,01100010,1
Device_01,01001011,0
Device_01,11001101,1
Device_01,10110010,0
Device_01,01110011,0
Device_01,01110001,1
Device_01,00100000,1
Device_01,01010110,1
Device_01,10111110,1
Device_01,11110101,1
Device_01,01000010,0
Device_01,01111010,1
Device_01,00100010,0
Device_01,11111101,0
Device_01,10110000,1
Device_01,11001100,0
Device_01,01110000,0
Device_01,11111001,0
Device_01,01101011,0
Device_01,00001010,1
Device_01,11111111,0
Device_01,00001011,0
Device_01,00100001,0
Device_01,01111101,1
Device_01,10101010,0
Device_01,11111010,1
Device_01,11100100,1
Device_01,01111100,0
Device_01,10110110,1
Device_01,00010100,1
Device_01,01100110,1
Device_01,11101001,1
Device_01,01111100,0
Device_01,01111010,1
Device_01,11101000,1
Device_01,11000111,0
Device_01,10001011,0
Device_01,01001101,0
Device_01,11100000,1
Device_01,01001100,1
Device_01,10101000,0
Device_01,01001111,1
Device_01,11011110,0
Device_01,11001001,0
Device_01,10010010,0
Device_01,10000011,1
Device_01,00100011,0
Device_01,11000000,0
Device_01,11000111,0
Device_01,10110100,1
Device_01,01101001,0
Device_01,10111100,0
Device_01,00000010,1
Device_01,01011101,0
Device_01,00110001,1
Device_01,11110000,1
Device_01,00100001,1
Device_01,10000001,0
Device_01,11011011,1
Device_01,01111110,1
Device_01,01110111,1
Device_01,01100000,1
Device_01,10000110,0
Device_01,10110000,0
Device_01,11000011,1
Device_01,00111010,0
Device_01,11101000,1
Device_01,00001000,1
Device_01,01111111,0
Device_01,10000101,0
Device_01,10011010,0
Device_01,01001110,0
Device_01,00000001,0
Device_01,10001111,1
Device_01,01110111,1
Device_01,11001101,0
Device_01,01110111,0
Device_01,01000000,0
Device_01,11011110,0
Device_01,01110011,1
Device_01,01110110,0
Device_01,01010001,1
Device_01,11100010,1
Device_01,11000100,1
Device_01,01111000,1
Device_01,01101011,0
Device_01,11011100,0
Device_01,01100100,1
Device_01,01111011,0
Device_01,10110001,1
Device_01,01111000,0
Device_01,00011100,1
Device_01,10011000,1
Device_01,11110000,0
Device_01,10001100,0
Device_01,00100011,0
Device_01,00110011,0
Device_01,10111000,0
Device_01,10010011,0
Device_01,11001011,0
Device_01,01110110,0
Device_01,00001101,1
Device_01,10111001,1
Device_01,10101010,0
Device_01,00011100,1
Device_01,10000000,0
Device_01,01111010,1
Device_01,01001110,0
Device_01,11110100,0
Device_01,01001110,0
Device_01,01010000,1
Device_01,10101010,0
Device_01,10010101,1
Device_01,10111000,1
Device_01,00000101,0
Device_01,10011000,0
Device_01,01011101,0
Device_01,00111000,0
Device_01,10011111,1
Device_01,10010010,1
Device_01,00110010,1
Device_01,11100011,0
Device_01,10010110,1
Device_01,11001100,1
Device_01,00011100,0
Device_01,11101001,1
Device_01,11011100,1
Device_01,01010111,1
Device_01,01110010,1
Device_01,11111001,1
Device_01,00000110,1
Device_01,11101101,1
Device_01,11001100,0
Device_01,01001010,0
Device_01,10010101,0
Device_01,11001101,0
Device_01,00000110,1
Device_01,00100110,0
Device_01,01100111,1
Device_01,01100101,1
Device_01,00010111,1
Device_01,10111111,0
Device_01,01000110,0
Device_01,01100010,1
Device_01,00111000,1
Device_01,10000010,1
Device_01,10001111,1
Device_01,10101011,1
Device_01,10100100,0
Device_01,00110101,0
Device_01,11100110,0
Device_01,10011110,1
Device_01,01110001,0
Device_01,11010100,0
Device_01,11110100,0
Device_01,00110000,0
Device_01,00101101,0
Device_01,00011010,1
Device_01,10100100,0
Device_01,11011001,1
Device_01,00111110,0
Device_01,10111011,1
Device_01,00101010,1
Device_01,10011011,0
Device_01,10101011,0
Device_01,01000100,1
Device_01,00011111,1
Device_01,11010010,0
Device_01,10000101,0
Device_01,11000111,0
Device_01,00000000,1
Device_01,01111001,0
Device_01,01100010,0
Device_01,10001000,1
Device_01,10110101,1
Device_01,01010110,0
Device_01,00011101,1
Device_01,10011100,1
Device_01,00111010,0
Device_01,00011101,0
Device_01,10110100,1
Device_01,11000101,0
Device_01,01110100,1
Device_01,01101101,0
Device_01,10100111,0
Device_01,01001000,0
Device_01,10011011,0
Device_01,01000000,0
Device_01,11110100,1
Device_01,10110011,1
Device_01,10111001,1
Device_01,10000110,0
Device_01,11100110,0
Device_01,00101000,0
Device_01,11010110,1
Device_01,00011100,0
Device_01,10110110,0
Device_01,10001100,0
Device_01,11101010,1
Device_01,11000001,1
Device_01,00011011,1
Device_01,00101000,0
Device_01,11100000,1
Device_01,01101101,0
Device_01,10111101,0
Device_01,00101111,0
Device_01,10100100,1
Device_01,00011001,0
Device_01,11101000,1
Device_01,11101110,1
Device_01,10010100,1
Device_01,01101011,1
Device_01,00000001,0
Device_01,10001110,0
Device_01,00000001,1
Device_01,01100110,1
Device_01,01111001,0
Device_01,00110011,1
Device_01,00010011,0
Device_01,11000101,0
Device_01,11101110,1
Device_01,01111111,1
Device_01,00111010,0
Device_01,00100100,1
Device_01,00000110,0
Device_01,00110111,0
Device_01,11101101,0
Device_01,00110010,0
Device_01,00101101,1
Device_01,01000001,0
Device_01,10011000,0
Device_01,00111110,0
Device_01,01001101,1
Device_01,10011101,1
Device_01,01111001,1
Device_01,01001110,0
Device_01,01001101,1
Device_01,01111100,1
Device_01,11010101,0
Device_01,10100000,1
Device_01,00101011,0
Device_01,00101100,0
Device_01,00000101,1
Device_01,11100100,0
Device_01,10100100,1
Device_01,01110110,0
Device_01,00000110,0
Device_01,01111100,0
Device_01,11000111,0
Device_01,00110010,0
Device_01,11001010,1
Device_01,01011100,1
Device_01,10000010,1
Device_01,00101001,0
Device_01,00000101,0
Device_01,11101011,1
Device_01,00010010,1
Device_01,11111010,1
Device_01,01110000,1
Device_01,01001110,0
Device_01,01010011,0
Device_01,10011100,0
Device_01,01111010,0
Device_01,10000011,1
Device_01,01010011,0
Device_01,00000000,0
Device_01,00100001,1
Device_01,10000010,0
Device_01,01000101,0
Device_01,01011110,0
Device_01,00101000,0
Device_01,10011000,0
Device_01,00010011,1
Device_01,00101010,1
Device_01,01010011,1
Device_01,11001011,1
Device_01,00000010,1
Device_01,00111110,0
Device_01,01000100,1
Device_01,10010000,0
Device_01,10011101,0
Device_01,11111011,0
Device_01,01001001,0
Device_01,00111110,0
Device_01,01111110,0
Device_01,00000110,0
Device_01,11101001,1
Device_01,11111111,1
Device_01,11011000,1
Device_01,00110011,0
Device_01,00100101,1
Device_01,01110110,0
Device_01,00001101,0
Device_01,01110101,0
Device_01,01011001,1
Device_01,01110111,1
Device_01,00100001,1
Device_01,11010101,1
Device_01,00100110,0
Device_01,10010101,1
Device_01,11100110,0
Device_01,00100111,1
Device_01,01011111,0
Device_01,01001100,0
Device_01,00000001,1
Device_01,01101001,1
Device_01,10101110,0
Device_01,10010011,1
Device_01,00101010,1
Device_01,00010010,0
Device_01,00000101,1
Device_01,11000101,0
Device_01,11010111,1
Device_01,01000010,0
Device_01,11111100,0
Device_01,11010011,0
Device_01,00001111,0
Device_01,01001111,1
Device_01,00000000,1
Device_01,10101010,0
Device_01,10110010,0
Device_01,11001011,0
Device_01,10000111,1
Device_01,00011110,1
Device_01,00011101,0
Device_01,11011100,0
Device_01,01110010,0
Device_01,10000011,1
Device_01,10011111,0
Device_01,10101100,1
Device_01,01100111,0
Device_01,01111101,1
Device_01,11000010,0
Device_01,01110101,0
Device_01,11011010,0
Device_01,11000000,1
Device_01,11011001,1
Device_01,00011101,0
Device_01,10010011,1
Device_01,10011001,1
Device_01,11100101,0
Device_01,00001101,1
Device_01,10111011,0
Device_01,11100000,0
Device_01,01110001,0
Device_01,00100010,0
Device_01,01000110,0
Device_01,11101010,0
Device_01,00011111,0
Device_01,01001010,0
Device_01,11010011,0
Device_01,10001101,0
Device_01,00011110,1
Device_01,00000011,0
Device_01,01000000,0
Device_01,10101011,1
Device_01,01011101,0
Device_01,10010000,0
Device_01,00110010,0
Device_01,00000110,0
Device_01,00101101,1
Device_01,10001100,0
Device_01,11010011,1
Device_01,10011001,0
Device_01,10010101,1
Device_01,11001110,1
Device_01,00011010,1
Device_01,10000000,0
Device_01,01010101,1
Device_01,01110100,1
Device_01,01110000,0
Device_01,01101010,1
Device_01,10110011,0
Device_01,01001111,1
Device_01,10110101,0
Device_01,11011011,0
Device_01,11110010,0
Device_01,11101111,1
Device_01,10110011,1
Device_01,01010010,0
Device_01,11011100,0
Device_01,01010100,1
Device_01,11000101,1
Device_01,00000001,1
Device_01,11010010,1
Device_01,10101010,1
Device_01,00110101,0
Device_01,11110111,1
Device_01,11001000,1
Device_01,11111101,0
Device_01,10100010,0
Device_01,01101000,0
Device_01,11001011,1
Device_01,00101010,1
Device_01,10100000,1
Device_01,01110100,1
Device_01,01011010,1
Device_01,11001101,0
Device_01,11010110,0
Device_01,00101110,0
Device_01,10111011,1
Device_01,11000011,0
Device_01,01100110,0
Device_01,11101000,1
Device_01,10010101,1
Device_01,10011011,0
Device_01,10010010,1
Device_01,00001011,1
Device_01,01000111,1
Device_01,10100101,1
Device_01,01010100,0
Device_01,01001111,0
Device_01,00111111,0
Device_01,01010111,1
Device_01,00111010,1
Device_01,01101000,1
Device_01,00110010,1
Device_01,11011101,1
Device_01,01001001,0
Device_01,00111000,1
Device_01,01110110,1
Device_01,01111001,1
Device_01,00101010,1
Device_01,00000011,1
Device_01,00011011,1
Device_01,10110001,1
Device_01,10011010,0
Device_01,00101000,1
Device_01,00001101,0
Device_01,10000001,0
Device_01,01011100,0
Device_01,11001001,0
Device_01,10111101,1
Device_01,00111001,0
Device_01,01011010,1
Device_01,11010110,0
Device_01,11010111,0
Device_01,10110111,0
Device_01,11000011,1
Device_01,11110100,1
Device_01,00111001,0
Device_01,01001111,0
Device_01,01111101,1
Device_01,10000011,0
Device_01,10101101,0
Device_01,10001011,1
Device_01,11010100,1
Device_01,11111001,1
Device_01,10100110,0
Device_01,01100100,0
Device_01,00000111,0
Device_01,10010110,1
Device_01,01111001,0
Device_01,00101010,1
Device_01,10100100,1
Device_01,01001100,0
Device_01,01101010,1
Device_01,11000011,0
Device_01,11100100,1
Device_01,01011010,0
Device_01,11011000,0
Device_01,01000000,1
Device_01,00001010,1
Device_01,00101010,1
Device_01,01010101,1
Device_01,01011111,1
Device_01,00111110,0
Device_01,00110100,1
Device_01,00100100,1
Device_01,11100010,1
Device_01,11011010,0
Device_01,00110100,1
Device_01,11100011,0
Device_01,10010101,0
Device_01,10100001,0
Device_01,00011100,0
Device_01,11101011,0
Device_01,10111001,1
Device_01,11101111,0
Device_01,10100101,1
Device_01,00010100,1
Device_01,01111111,1
Device_01,11100111,1
Device_01,11111111,1
Device_01,10001001,0
Device_01,00100001,1
Device_01,01010010,1
Device_01,11001111,0
Device_01,11010111,1
Device_01,00000101,0
Device_01,11011010,0
Device_01,01011000,1
Device_01,10000010,0
Device_01,00010100,1
Device_01,01010010,0
Device_01,11010110,1
Device_01,01001101,0
Device_01,00001001,0
Device_01,10110000,0
Device_01,00101011,1
Device_01,10011110,1
Device_01,11001100,0
Device_01,01010100,0
Device_01,10101100,0
Device_01,01100101,1
Device_01,11001010,1
Device_01,01010110,0
Device_01,01001101,1
Device_01,00001111,0
Device_01,11101000,0
Device_01,01111000,1
Device_01,11101011,1
Device_01,00000110,0
Device_01,11011110,1
Device_01,11100011,1
Device_01,01100001,1
Device_01,01011011,1
Device_01,01000011,1
Device_01,10000010,1
Device_01,10001000,0
Device_01,11010101,1
Device_01,10110010,1
Device_01,11010101,0
Device_01,00100101,1
Device_01,10100000,1
Device_01,10010010,0
Device_01,00010000,0
Device_01,10101111,0
Device_01,01000010,0
Device_01,10110110,0
Device_01,11011110,1
Device_01,11000110,0
Device_01,00111101,0
Device_01,01100111,0
Device_01,11110101,0
Device_01,11100011,0
Device_01,01110001,1
Device_01,11111101,0
Device_01,10001111,1
Device_01,00111011,0
Device_01,10111101,0
Device_01,01100000,1
Device_01,01100001,0
Device_01,01110101,0
Device_01,10001000,1
Device_01,10101110,0
Device_01,00110111,1
Device_01,00011001,1
Device_01,11001001,0
Device_01,11001101,0
Device_01,01010011,0
Device_01,10010011,0
Device_01,11100111,1
Device_01,11101011,1
Device_01,11110110,0
Device_01,10101011,1
Device_01,11100000,1
Device_01,10010111,0
Device_01,11010011,1
Device_01,00111011,1
Device_01,01010111,1
Device_01,10101111,0
Device_01,00011111,1
Device_01,10111111,1
Device_01,00100111,1
Device_01,00001010,1
Device_01,01000001,0
Device_01,10111100,1
Device_01,11011100,0
Device_01,11011110,0
Device_01,01001001,0
Device_01,01101111,0
Device_01,00111101,1
Device_01,11100110,1
Device_01,11111011,0
Device_01,10100010,1
Device_01,00111000,1
Device_01,11110000,1
Device_01,11001111,0
Device_01,10110110,1
Device_01,01101110,0
Device_01,00100001,0
Device_01,01000110,1
Device_01,11010100,1
Device_01,11101000,0
Device_01,00110000,0
Device_01,10011111,1
Device_01,11010101,0
Device_01,00110101,1
Device_01,11100101,1
Device_01,01010111,1
Device_01,01101000,0
Device_01,00010000,1
Device_01,10000001,1
Device_01,00001000,1
Device_01,00100111,1
Device_01,01000010,1
Device_01,11000011,1
Device_01,00101100,0
Device_01,10000001,1
Device_01,10110000,0
Device_01,01101010,0
Device_01,00001010,0
Device_01,10100011,0
Device_01,10100101,0
Device_01,10100101,0
Device_01,01001110,1
Device_01,11011001,1
Device_01,11011110,0
Device_01,01101011,1
Device_01,00110010,1
Device_01,01010011,1
Device_01,01010111,0
Device_01,00001001,0
Device_01,01000110,1
Device_01,11101111,1
Device_01,10101110,1
Device_01,11101010,0
Device_01,11010010,1
Device_01,01111011,1
Device_01,10011010,1
Device_01,00010011,1
Device_01,00010011,1
Device_01,10110110,1
Device_01,11111011,1
Device_01,01100110,0
Device_01,01110000,1
Device_01,01100010,0
Device_01,01010100,0
Device_01,11010011,0
Device_01,00111110,1
Device_01,00011101,0
Device_01,11111000,0
Device_01,00011000,1
Device_01,01111111,0
Device_01,10011010,1
Device_01,00001100,0
Device_01,11110101,0
Device_01,11011001,0
Device_01,00110001,1
Device_01,00101010,1
Device_01,11111101,0
Device_01,00011110,0
Device_01,01100001,0
Device_01,11110000,1
Device_01,00100111,1
Device_01,01010110,1
Device_01,10000010,0
Device_01,11101100,0
Device_01,10001110,1
Device_01,11110010,1
Device_01,11101001,0
Device_01,00111000,1
Device_01,10011010,0
Device_01,11001110,1
Device_01,11110100,1
Device_01,10111100,0
Device_01,11001100,0
Device_01,10011111,1
Device_01,10000000,0
Device_01,11111111,0
Device_01,00001001,1
Device_01,10100100,0
Device_01,10111001,1
Device_01,01111010,0
Device_01,11011010,1
Device_01,01010011,1
Device_01,00000010,1
Device_01,00110011,1
Device_01,00110111,1
Device_01,10011010,0
Device_01,00000111,0
Device_01,00100101,0
Device_01,11011010,0
Device_01,01101100,0
Device_01,10111010,1
Device_01,01011000,0
Device_01,00101101,1
Device_01,01101111,0
Device_01,00101000,0
Device_01,10111110,1
Device_01,01001001,1
Device_01,11110111,1
Device_01,11101000,0
Device_01,11110111,0
Device_01,01000110,0
Device_01,01101110,1
Device_01,01000010,1
Device_01,11111011,0
Device_01,11101110,0
Device_01,11101001,0
Device_01,11001001,0
Device_01,01111110,0
Device_01,10110101,0
Device_01,10001011,0
Device_01,10100000,0
Device_01,11010100,0
Device_01,00011110,0
Device_01,10101011,0
Device_01,10101100,0
Device_01,01011100,1
Device_01,10001110,1
Device_01,11100100,0
Device_01,01101110,0
Device_01,00001001,0
Device_01,10100111,1
Device_01,01110110,1
Device_01,11100110,0
Device_01,00010000,1
Device_01,00111001,0
Device_01,10110011,1
Device_01,11110110,0
Device_01,11101101,1
Device_01,11100011,0
Device_01,11111100,0
Device_01,10111001,1
Device_01,10111110,0
Device_01,10010111,1
Device_01,01100100,1
Device_01,10000111,0
Device_01,00000000,1
Device_01,00001100,0
Device_01,11001001,1
Device_01,01111010,0
Device_01,11001101,1
Device_01,00100000,0
Device_01,10011110,0
Device_01,10100010,0
Device_01,10010110,1
Device_01,01011010,0
Device_01,10011110,0
Device_01,00001110,1
Device_01,10101001,1
Device_01,01100010,1
Device_01,10011100,1
Device_01,10001010,0
Device_01,01101111,1
Device_01,00111111,0
Device_01,01110001,0
Device_01,11011101,0
Device_01,11111000,1
Device_01,10000101,0
Device_01,10011101,0
Device_01,11001100,1
Device_01,01101110,0
Device_01,00101000,1
Device_01,11010100,0
Device_01,01000011,0
Device_01,10100001,1
Device_01,10110111,1
Device_01,11011111,1
Device_01,01010101,1
Device_01,00011110,0
Device_01,00101001,0
Device_01,01111101,1
Device_01,00110111,1
Device_01,10101110,0
Device_01,01000111,1
Device_01,11001100,0
Device_01,11101100,1
Device_01,01110101,1
Device_01,00011111,1
Device_01,11001001,0
Device_01,11110110,0
Device_01,11011000,0
Device_01,00111100,0
Device_01,11000111,1
Device_01,10010001,0
Device_01,11110101,0
Device_01,00011000,1
Device_01,11001010,0
Device_01,00001110,1
Device_01,01111001,0
Device_01,01010100,0
Device_01,01101110,1
Device_01,01010010,0
Device_01,00110100,0
Device_01,10001101,0
Device_01,11001001,0
Device_01,10111001,0
Device_01,10001001,0
Device_01,11001100,0
Device_01,11111101,0
Device_01,11011010,0
Device_01,01000000,1
Device_01,10001000,1
